作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
山野行月,错发信息给前男友后,原创-言情-近代现代-爱情,完结,253865,2025-05-26 22:49:44,女主,种好啦（现言）,中国大陆出版最新签约,已签约,25772,5963,23281,"362,970,368","都市,情有独钟,破镜重圆,甜文",9.8,86,90%,9%,1%,0%,0%
嵩安,月照青梅,原创-言情-近代现代-爱情,完结,464607,2021-10-27 17:58:33,女主,现言 之 现言,中国大陆出版最新签约,已签约,4247,209,3008,"31,703,434","情有独钟,天作之合,青梅竹马,校园,正剧,暗恋",10,2,100%,0%,0%,0%,0%
ppp大侠,乱套,原创-言情-近代现代-爱情,完结,291004,2024-12-25 23:42:45,女主,（现言）完结啦！,中国大陆出版最新签约,已签约,8786,4018,7471,"95,876,512","都市,天之骄子,娱乐圈,业界精英,甜文,暗恋",9.1,30,60%,33%,7%,0%,0%
爻棋,你再说我一句试试,原创-纯爱-近代现代-爱情,完结,323276,2025-07-29 19:09:53,主受,草莓蛋糕,中国大陆出版最新签约,已签约,102999,12673,77966,"1,129,756,800","花季雨季,情有独钟,甜文,校园,轻松",8.5,327,39%,48%,12%,0%,0%
冬宜,暗恋雨至,原创-言情-近代现代-爱情,完结,499919,2025-03-07 21:43:57,女主,嘉年华 之 梅雨,中国大陆出版最新签约,已签约,66382,10002,74912,"511,519,936","情有独钟,破镜重圆,天之骄子,业界精英,成长,暗恋",9.7,89,88%,9%,3%,0%,0%
题叶帖,前任和狗，都不放手,原创-言情-近代现代-爱情,完结,185253,2025-06-10 15:20:21,女主,无从属系列,中国大陆出版最新签约,已签约,3261,269,2193,"38,496,168","青梅竹马,甜文,轻松,治愈,日常",10,8,100%,0%,0%,0%,0%
笑风流,今夜宜偷亲宿敌,原创-言情-近代现代-爱情,完结,406395,2025-07-01 01:07:33,女主,一曲终了,中国大陆出版最新签约,已签约,10939,1511,13004,"182,112,672","欢喜冤家,天作之合,青梅竹马,校园,日常,暗恋",9.2,12,67%,25%,8%,0%,0%
荔宝,星星藏在月亮船,原创-言情-近代现代-爱情,完结,299557,2025-06-04 19:50:11,女主,酸甜荔枝糖/写完啦,中国大陆出版最新签约,已签约,18122,533,11897,"154,019,904","情有独钟,天之骄子,励志,成长,校园,暗恋",9,21,67%,19%,14%,0%,0%
凌早,冬日宜喜欢,原创-言情-近代现代-爱情,完结,354875,2025-09-27 01:40:17,女主,火上烤鱼,中国大陆出版最新签约,已签约,29768,1433,24350,"297,233,088","豪门世家,天作之合,甜文,治愈",8,6,33%,50%,0%,17%,0%
七宝酥,分开的意义,原创-言情-近代现代-爱情,完结,45744,2024-10-27 16:34:33,女主,写完啦,中国大陆出版最新签约,已签约,16261,3394,7018,"769,095,168","都市,现实",9.8,97,91%,9%,0%,0%,0%
乌津一,逃出那片海,原创-言情-近代现代-爱情,完结,301658,2024-12-18 18:02:00,女主,昨日死 今日生,中国大陆出版最新签约,已签约,1803,435,3523,"62,875,616","励志,成长,逆袭,校园,BE",10,14,100%,0%,0%,0%,0%
岑姜,橘络,原创-言情-近代现代-爱情,完结,115522,2025-07-03 11:49:39,女主,BE 之 暗恋,中国大陆出版最新签约,已签约,310,134,317,"31,178,962","虐文,天之骄子,悲剧",暂无,0,0%,0%,0%,0%,0%
苏时玖,只想爱你,原创-言情-近代现代-爱情,完结,325581,2025-03-20 18:43:51,女主,先挖个坑,中国大陆出版最新签约,已签约,18697,1259,19149,"132,655,616","天作之合,青梅竹马,甜文,正剧,美强惨,救赎",8.9,9,56%,33%,11%,0%,0%
